時間戳記,您已確定該網站為詐騙網站？,請看到網址的部分，它包含以下哪一種網址？,該商品有提到它是外國商品？,下殺折扣,有無使用品牌名稱,該商品販賣網站為？,有無限時優惠？,請看到網址的部分，它包含以下哪一種網址？1,該商品有提到它是外國商品？1,下殺折扣1,有無使用品牌名稱1,該商品販賣網站為？1,有無限時優惠？1
2018/5/31 上午 11:40:05,是，這是詐騙網站。,http,美國,無,有,其他,無,,,,,,
2018/5/31 上午 11:40:21,是，這是詐騙網站。,http,日本,無,有,其他,無,,,,,,
2018/5/31 上午 11:40:41,是，這是詐騙網站。,http,日本,無,沒有,其他,無,,,,,,
2018/5/31 上午 11:40:58,是，這是詐騙網站。,http,日本,無,沒有,其他,無,,,,,,
2018/5/31 上午 11:41:12,是，這是詐騙網站。,http,日本,五折,有,其他,倒數計時,,,,,,
2018/5/31 上午 11:41:29,是，這是詐騙網站。,http,無,三折,有,其他,無,,,,,,
2018/5/31 上午 11:41:46,是，這是詐騙網站。,https,無,一折,有,facebook,只有提到限時,,,,,,
2018/5/31 上午 11:42:04,是，這是詐騙網站。,http,韓國,一折,有,其他,倒數計時,,,,,,
2018/5/31 上午 11:42:20,是，這是詐騙網站。,http,無,一折,有,其他,只有提到限時,,,,,,
2018/5/31 上午 11:42:46,否，我確定不是。,,,,,,,https,無,無,有,yahoo 奇摩購物,無
2018/5/31 上午 11:43:09,是，這是詐騙網站。,http,無,一折,有,其他,只有提到限時,,,,,,
2018/5/31 上午 11:43:24,是，這是詐騙網站。,http,無,無,沒有,其他,無,,,,,,
2018/5/31 上午 11:43:45,是，這是詐騙網站。,https,無,無,有,facebook,無,,,,,,
2018/6/8 下午 1:34:00,是，這是詐騙網站。,http,韓國,一折,沒有,其他,只有提到限時,,,,,,
2018/6/8 下午 1:34:55,是，這是詐騙網站。,http,無,三折,有,其他,無,,,,,,
2018/6/8 下午 1:35:59,是，這是詐騙網站。,http,無,無,有,其他,無,,,,,,
2018/6/8 下午 1:36:27,是，這是詐騙網站。,http,美國,無,有,vivishop,無,,,,,,
2018/6/8 下午 1:37:15,是，這是詐騙網站。,http,無,三折,有,vivishop,倒數計時,,,,,,
2018/6/8 下午 1:38:04,是，這是詐騙網站。,http,德國,三折,有,其他,倒數計時,,,,,,
2018/6/8 下午 1:39:03,是，這是詐騙網站。,http,無,無,沒有,其他,倒數計時,,,,,,
2018/6/8 下午 1:39:36,是，這是詐騙網站。,http,無,無,沒有,其他,無,,,,,,
2018/6/8 下午 1:40:15,是，這是詐騙網站。,http,無,三折,沒有,其他,倒數計時,,,,,,
2018/6/8 下午 1:40:51,是，這是詐騙網站。,http,無,三折,沒有,其他,倒數計時,,,,,,
2018/6/8 下午 1:41:44,是，這是詐騙網站。,http,無,兩折,有,facebook,只有提到限時,,,,,,
2018/6/8 下午 1:43:27,否，我確定不是。,,,,,,,https,日本,其他,有,其他,無
2018/6/8 下午 1:43:50,否，我確定不是。,,,,,,,https,日本,其他,有,其他,無
2018/6/8 下午 1:44:14,否，我確定不是。,,,,,,,https,日本,其他,有,其他,無
2018/6/8 下午 1:44:35,否，我確定不是。,,,,,,,https,日本,其他,有,其他,無
2018/6/8 下午 1:46:10,否，我確定不是。,,,,,,,https,日本,其他,有,其他,無
2018/6/8 下午 1:48:03,否，我確定不是。,,,,,,,https,德國,無,有,其他,無
2018/6/8 下午 1:48:14,否，我確定不是。,,,,,,,https,德國,無,有,其他,無
2018/6/8 下午 1:48:58,否，我確定不是。,,,,,,,https,韓國,其他,有,其他,無
2018/6/8 下午 1:49:17,否，我確定不是。,,,,,,,https,韓國,其他,有,其他,無
2018/6/8 下午 1:55:07,否，我確定不是。,,,,,,,https,無,其他,有,yahoo 奇摩購物,無
2018/6/8 下午 1:55:38,否，我確定不是。,,,,,,,https,無,其他,有,yahoo 奇摩購物,無
2018/6/8 下午 1:56:31,否，我確定不是。,,,,,,,https,韓國,其他,有,yahoo 奇摩購物,無
2018/6/8 下午 1:57:01,否，我確定不是。,,,,,,,https,韓國,其他,有,yahoo 奇摩購物,無
2018/6/8 下午 1:57:41,是，這是詐騙網站。,http,日本,五折,有,其他,無,,,,,,
2018/6/8 下午 1:59:10,是，這是詐騙網站。,http,無,兩折,有,其他,無,,,,,,
2018/6/8 下午 1:59:40,是，這是詐騙網站。,https,無,無,有,facebook,無,,,,,,
2018/6/8 下午 2:01:24,是，這是詐騙網站。,http,無,一折,有,其他,只有提到限時,,,,,,
2018/6/8 下午 2:02:03,是，這是詐騙網站。,http,美國,一折,有,其他,倒數計時,,,,,,
2018/6/8 下午 2:02:38,是，這是詐騙網站。,https,無,無,沒有,facebook,無,,,,,,
2018/6/8 下午 2:03:57,是，這是詐騙網站。,http,無,兩折,沒有,其他,倒數計時,,,,,,
2018/6/8 下午 2:05:10,否，我確定不是。,,,,,,,https,無,無,有,yahoo 奇摩購物,無
2018/6/8 下午 2:06:06,否，我確定不是。,,,,,,,https,無,無,有,yahoo 奇摩購物,無
2018/6/8 下午 2:11:06,否，我確定不是。,,,,,,,兩者都沒有,日本,五折,沒有,露天拍賣,無
2018/6/8 下午 2:12:19,否，我確定不是。,,,,,,,兩者都沒有,韓國,無,有,露天拍賣,無
2018/6/8 下午 2:13:07,否，我確定不是。,,,,,,,兩者都沒有,韓國,無,沒有,露天拍賣,無
2018/6/8 下午 2:13:31,是，這是詐騙網站。,兩者都沒有,韓國,兩折,有,露天拍賣,只有提到限時,,,,,,
2018/6/8 下午 2:18:03,是，這是詐騙網站。,http,美國,一折,有,其他,只有提到限時,,,,,,
2018/6/8 下午 2:19:01,是，這是詐騙網站。,http,日本,兩折,有,其他,只有提到限時,,,,,,
2018/6/8 下午 2:19:35,是，這是詐騙網站。,http,無,兩折,有,其他,倒數計時,,,,,,
2018/6/8 下午 2:20:15,是，這是詐騙網站。,http,無,一折,有,facebook,只有提到限時,,,,,,
2018/6/8 下午 2:20:49,是，這是詐騙網站。,http,其他國家,五折,沒有,其他,倒數計時,,,,,,
2018/6/8 下午 2:21:30,是，這是詐騙網站。,http,其他國家,五折,有,其他,無,,,,,,
2018/6/8 下午 2:22:04,是，這是詐騙網站。,http,無,一折,有,其他,只有提到限時,,,,,,
2018/6/8 下午 2:22:57,是，這是詐騙網站。,http,美國,兩折,有,其他,倒數計時,,,,,,
,,,,,,,,,,,,,
2018/6/18 下午 5:35:09,是，這是詐騙網站。,http,無,三折,有,其他,只有提到限時,,,,,,
2018/6/18 下午 5:35:45,否，我確定不是。,,,,,,,兩者都沒有,韓國,無,沒有,露天拍賣,無